district,wardpc,wardname,districtpc,pop_2012,f_pop_2012,m_pop_2012,households
Beitbridge,2561734,134,25616,84993,44804,40189,20157
Beitbridge Urban,973221,21,9732,42218,21641,20577,11959
Bikita,5763728,528,57632,161703,88013,73690,37767
Bindura,2522331,231,25221,124160,62248,61912,28569
Bindura Urban,1465278,78,14652,44033,22791,21242,11172
Binga,3752825,325,37525,138074,74562,63512,31675
Bubi,3454876,276,34546,62188,30290,31898,14107
Buhera,3633861,561,36333,246462,132231,114231,57126
Bulawayo,2961335,435,29609,655675,351229,304446,167092
Bulilima,3524653,253,35244,90757,48844,41913,19761
Centenary,3486235,435,34858,120728,60502,60226,26843
Chegutu,4063335,435,40629,149025,74092,74933,36375
Chegutu Urban,1707678,78,17076,49832,26269,23563,12634
Chikomba,3903465,465,39030,121162,63162,58000,30655
Chimanimani,2534876,276,25346,133810,69478,64332,32801
Chinhoyi,2131620,120,21315,79368,41750,37618,18832
Chipinge,3309465,465,33090,300792,161590,139202,66403
Chipinge Urban,898436,36,8984,25675,13884,11791,6857
Chiredzi,5766928,528,57664,276842,143457,133385,64865
Chiredzi Urban,1457636,36,14576,30594,16113,14481,8490
Chirumhanzu,4252825,325,42525,81087,42676,38411,19736
Chitungwiza,4805325,325,48050,354472,186931,167541,87103
Chivi,5770128,528,57696,166277,90375,75902,36382
Epworth,1346128,28,13461,161840,80794,81046,44603
Gokwe North,6127866,666,61272,244976,126795,118181,49584
Gokwe South,5620461,561,56199,307250,158971,148279,63224
Gokwe South Urban,1037421,21,10374,24136,13228,10908,6395
Goromonzi,3255325,325,32550,223879,113506,110373,56248
Guruve,2887500,300,28872,123467,63163,60304,27953
Gutu,7577681,881,75768,205048,109590,95458,48572
Gwanda,3849900,300,38496,116357,59833,56524,26773
Gwanda Urban,1621055,55,16210,20420,10813,9607,5656
Gweru,3237790,190,32376,93128,47519,45609,20756
Gweru Urban,3097971,171,30978,158233,84465,73768,41149
Harare,8837681,1081,88366,1581887,818643,763244,400261
Hurungwe,3645551,351,36452,324675,162386,162289,70028
Hwange,3006210,210,30060,62649,31888,30761,14893
Hwange Urban,2281620,120,22815,37602,18858,18744,9903
Hwedza,1954620,120,19545,70473,36034,34439,17273
Insiza,3691776,276,36915,99793,50612,49181,21401
Kadoma Urban,2385253,153,23851,90109,47065,43044,23091
Kariba,1684878,78,16848,41420,20795,20625,9565
Kariba Urban,1281645,45,12816,26742,13496,13246,6889
Karoi,1426055,55,14260,18757,10143,8614,4961
Kwekwe,5627061,561,56265,175835,88557,87278,38107
Kwekwe Urban,2410905,105,24108,100455,52358,48097,24779
Lupane,4211606,406,42112,98864,51631,47233,19160
Makonde,2669690,190,26695,148819,73582,75237,32214
Makoni,4306380,780,43056,273289,139706,133583,63887
Mangwe,2725253,153,27251,67005,35527,31478,13806
Marondera,2999476,276,29992,116427,57871,58556,29805
Marondera Urban,1585278,78,15852,62120,33132,28988,16700
Masvingo,6318130,630,63175,211732,112158,99574,47297
Masvingo Urban,1821055,55,18210,88554,47697,40857,23935
Matobo,4175946,346,41756,95097,49406,45691,21026
Mazowe,4214630,630,42140,232885,118576,114309,63632
Mberengwa,6312903,703,63122,186164,99079,87085,38852
Mbire,2053753,153,20536,81908,41474,40434,18130
Mhondoro-Ngezi,2283336,136,22832,104061,49845,54216,23630
Mount Darwin,4820820,820,48200,212190,109120,103070,47726
Mudzi,2349171,171,23490,132617,69761,62856,32443
Murehwa,3918465,465,39180,195085,101718,93367,46679
Mutare,3978666,666,39780,260567,135020,125547,58400
Mutare Urban,2130090,190,21299,188243,99286,88957,48258
Mutasa,3429096,496,34286,169756,89931,79825,42479
Mutoko,3790735,435,37903,145676,75109,70567,35372
Mwenezi,3250971,171,32508,166263,89458,76805,33967
Nkayi,4515465,465,45150,109371,57130,52241,21473
Norton,1852591,91,18525,58421,30483,27938,14482
Nyanga,3432196,496,34317,125688,65667,60021,32359
Plumtree,973821,21,9738,11660,6261,5399,3273
Redcliff,1550745,45,15507,35924,18727,17197,9458
Rusape,1122055,55,11220,30718,16445,14273,8301
Rushinga,3015325,325,30150,70548,36745,33803,16331
Ruwa,1193445,45,11934,56333,29710,26623,13807
Sanyati,2570571,171,25704,113220,55887,57333,25257
Seke,2747031,231,27468,101137,50698,50439,24786
Shamva,3500735,435,35003,119530,60099,59431,27552
Shurugwi,4097100,300,40968,77460,39667,37793,17134
Shurugwi Town,2246491,91,22464,22456,11115,11341,5767
Tsholotsho,3313453,253,33132,113895,61266,52629,24151
Umguza,2863490,190,28633,87518,41569,45949,19495
Umzingwane,3214210,210,32140,62510,31714,30796,14450
Uzumba Maramba Pfungwe,2225453,153,22253,112150,58151,53999,25949
Victoria Falls,1674266,66,16742,33710,17504,16206,9109
Zaka,6144395,595,61438,181106,99126,81980,40250
Zvimba,4921630,630,49210,245489,122927,122562,58304
Zvishavane,3245390,190,32452,70047,36286,33761,15100
Zvishavane Urban,1725055,55,17250,45325,23800,21525,12068
