location,cases,population
Bonda,225,4595
Chinamasa,109,1151
Chitombo,997,4106
Chisuko,13690,9681
Dreaanane,48,980
EHPL,7769,2671
Gatsi,4136,6797
Guta,414,4475
Haparari,228,2660
Hauna Clinic,10783,6394
Hauna Hospital,5792,5198
Honde Mission,877,1809
Imbeza,306,3685
Jombe,739,3736
Katiyo,3593,2126
Mandeya II,42,5322
Mapara,186,1324
Moyoweshumba,439,3251
Mt. Jeya,1021,3165
Mupotedzi,1581,3590
Mutasa,284,5175
Ngarura,5531,2845
Old Mutare,1096,10046
Premier,1894,1814
Red Wing,576,9551
Rupinda,1299,2845
Sadziwa,193,1621
Sagambe,12523,2683
Sahumani,1775,3031
Sakupwanya,533,5156
Samanga,248,4789
Samaringa,1134,2064
Selbome,224,1950
Sheba,79,882
Sherukuru,561,2294
St. Augustine’s,986,5796
St. Barbara’s,167,2093
St. Peter’s,20778,6141
Triashill,115,2110
Tsonzo,1017,10567
Zindi,9439,9692
Zongoro,1317,3302
